transaction_id,customer_id,customer_name,product_id,product_name,transaction_date,quantity,unit_price,revenue
T00025,C0003,Ishaan Pharmacy Mumbai 003,SP003,ATORVA 10MG,2026-06-06,27,42.5,1147.5
T00026,C0094,Lifeline Hospital Pune Branch 12,SP005,OMEP 20MG,2026-01-28,10,240.0,2400.0
T00027,C0058,Sunrise Clinic Pune Branch 8,SP005,OMEP 20MG,2026-01-24,27,42.5,1147.5
T00028,C0095,Nova Health Distributors Chennai Branch 12,SP001,AMOX 500MG,2026-05-24,38,120.0,4560.0
T00029,C0117,Rohan Pharmacy Mumbai 117,SP002,MET 500MG,2026-05-16,49,185.5,9089.5
T00030,C0110,  lifeline hospital bangalore branch 14  ,SP004,PCM 650MG,2026-02-13,33,240.0,7920.0
T00031,C0060,Kavya Pharmacy Delhi 060,SP003,ATORVA 10MG,2026-07-27,20,-75.0,2400.0
T00032,C0001,Apollo Hospitals Hyderabad Branch 1,SP004,PCM 650MG,2026-05-13,32,240.0,7680.0
T00033,C0006,Meera Pharmacy Delhi 006,SP005,OMEP 20MG,2026-05-23,31,240.0,7440.0
T00034,C0060,Kavya Pharmacy Delhi 060,SP004,PCM 650MG,2026-06-10,2,120.0,240.0
T00035,C0076,Carewell Medical Centre Pune Branch 10,SP003,ATORVA 10MG,2026-04-10,13,120.0,1560.0
T00036,C0060,Kavya Pharmacy Delhi 060,SP001,AMOX 500MG,2026-06-07,22,42.5,935.0
T00037,C0096,Nisha Pharmacy Delhi 096 Pvt. Ltd.,SP003,ATORVA 10MG,2026-03-07,14,120.0,1680.0
T00038,C0086,Lifeline Hospital Bangalore Branch 11,SP004,PCM 650MG,2026-07-23,13,120.0,1560.0
T00039,C0103,Nova Health Distributors Hyderabad Branch 13,SP005,OMEP 20MG,2026-04-01,18,240.0,4320.0
T00040,C0047,Nova Health Distributors Chennai Branch 6,SP002,MET 500MG,2026-01-13,11,120.0,1320.0
T00041,C0103,Nova Health Distributors Hyderabad Branch 13,SP002,MET 500MG,2026-03-19,34,185.5,-500.0
T00042,C0026,Sunrise Clinic Bangalore Branch 4,SP005,OMEP 20MG,2026-01-14,21,42.5,892.5
T00043,C0026,Sunrise Clinic Bangalore Branch 4,SP001,AMOX 500MG,2026-02-16,24,120.0,2880.0
T00044,C0064,Medisource Pharmacy Pune Branch 8 Pvt. Ltd.,SP002,MET 500MG,2026-06-06,17,75.0,1275.0
T00045,C0050,Sunrise Clinic Bangalore Branch 7,SP004,PCM 650MG,2026-01-16,36,240.0,8640.0
T00046,C0082,Sunrise Clinic Pune Branch 11,SP006,CETI 10MG,2026-07-28,43,240.0,10320.0
T00047,C0025,Apollo Hospitals Hyderabad Branch 4,SP003,ATORVA 10MG,2026-03-18,13,120.0,1560.0
T00048,C0091,Green Valley Pharmacy Hyderabad Branch 12,SP005,OMEP 20MG,2026-03-05,2,120.0,240.0
T00049,C0069,Rohan Pharmacy Mumbai 069,SP004,PCM 650MG,2026-06-08,15,120.0,1800.0
T00050,C0005,Zenith Diagnostics Chennai Branch 1,SP005,OMEP 20MG,2026-05-11,37,75.0,2775.0
T00051,C0076,Carewell Medical Centre Pune Branch 10,SP002,MET 500MG,2099-13-40,17,120.0,2040.0
T00052,C0036,Kavya Pharmacy Delhi 036,SP002,MET 500MG,2026-05-08,10,185.5,1855.0
T00053,C0058,Sunrise Clinic Pune Branch 8,SP006,CETI 10MG,2026-04-15,47,185.5,8718.5
T00054,C0053,Zenith Diagnostics Chennai Branch 7,SP002,MET 500MG,2026-07-09,42,120.0,5040.0
T00055,C0036,Kavya Pharmacy Delhi 036,SP006,CETI 10MG,2026-01-23,2,42.5,85.0
T00056,C0094,Lifeline Hospital Pune Branch 12,SP003,ATORVA 10MG,2026-07-08,31,75.0,2325.0
T00057,C0074,Sunrise Clinic Bangalore Branch 10,SP005,OMEP 20MG,2026-03-01,13,120.0,1560.0
T00058,C0040,Medisource Pharmacy Pune Branch 5 Pvt. Ltd.,SP005,OMEP 20MG,2026-03-18,15,75.0,1125.0
T00059,C0063,Arjun Pharmacy Mumbai 063,SP003,ATORVA 10MG,2026-01-10,13,240.0,3120.0
T00060,C0049,Apollo Hospitals Hyderabad Branch 7,SP003,ATORVA 10MG,2026-03-02,28,185.5,5194.0
T00061,C0098,Sunrise Clinic Bangalore Branch 13,SP004,AMOXICILIN 500MG,2026-06-24,40,42.5,1700.0
T00062,C0003,Ishaan Pharmacy Mumbai 003,SP005,OMEP 20MG,2026-07-06,37,185.5,6863.5
T00063,C0090,Diya Pharmacy Delhi 090,SP002,MET 500MG,2026-04-10,37,120.0,4440.0
T00064,C0103,Nova Health Distributors Hyderabad Branch 13,SP001,AMOX 500MG,2026-04-04,20,185.5,3710.0
T00065,C0044,  carewell medical centre bangalore branch 6  ,SP001,AMOX 500MG,2026-01-18,49,42.5,2082.5
T00066,C0094,Lifeline Hospital Pune Branch 12,SP001,AMOX 500MG,2026-07-25,49,120.0,5880.0
T00067,C0076,Carewell Medical Centre Pune Branch 10,SP004,PCM 650MG,2026-05-13,44,120.0,5280.0
T00068,C0005,Zenith Diagnostics Chennai Branch 1,SP006,CETI 10MG,2026-05-20,4,120.0,480.0
T00069,C0050,Sunrise Clinic Bangalore Branch 7,SP004,PCM 650MG,2026-05-11,47,185.5,8718.5
T00070,C0071,Nova Health Distributors Chennai Branch 9,SP004,PCM 650MG,2026-04-20,5,240.0,1200.0
T00071,C0067,Green Valley Pharmacy Hyderabad Branch 9,SP004,PCM 650MG,2026-04-28,12,42.5,510.0
T00072,C0057,Aarav Pharmacy Mumbai 057,SP001,AMOX 500MG,2026-03-23,37,75.0,2775.0
T00073,C0060,Kavya Pharmacy Delhi 060,SP005,OMEP 20MG,2026-07-21,41,120.0,4920.0
T00074,C0116,Carewell Medical Centre Bangalore Branch 15,SP001,AMOX 500MG,2026-01-25,14,42.5,595.0
T00075,C0061,Zenith Diagnostics Hyderabad Branch 8,SP003,ATORVA 10MG,2026-05-28,12,75.0,900.0
T00076,C0115,Green Valley Pharmacy Hyderabad Branch 15,SP004,PCM 650MG,2026-02-24,1,42.5,42.5
T00077,C0037,Zenith Diagnostics Hyderabad Branch 5,SP005,OMEP 20MG,2026-04-18,47,75.0,3525.0
T00078,C0005,Zenith Diagnostics Chennai Branch 1,SP002,MET 500MG,2026-03-20,26,42.5,1105.0
T00079,C0049,Apollo Hospitals Hyderabad Branch 7,SP004,PCM 650MG,2026-05-23,29,185.5,5379.5
T00080,C0012,Kavya Pharmacy Delhi 012,SP004,PCM 650MG,2026-06-28,31,42.5,1317.5
T00081,C0082,Sunrise Clinic Pune Branch 11,SP003,ATORVA 10MG,2026-06-16,48,75.0,3600.0
T00082,C0048,Nisha Pharmacy Delhi 048 Pvt. Ltd.,SP003,ATORVA 10MG,2026-02-03,3,240.0,720.0
T00083,C0048,Nisha Pharmacy Delhi 048 Pvt. Ltd.,SP005,OMEP 20MG,2026-01-08,38,240.0,9120.0
T00084,C0022,  lifeline hospital pune branch 3  ,SP005,OMEP 20MG,2026-06-10,14,185.5,2597.0
T00085,C0025,Apollo Hospitals Hyderabad Branch 4,SP004,PCM 650MG,2026-06-13,36,120.0,4320.0
T00086,C0006,Meera Pharmacy Delhi 006,SP003,ATORVA 10MG,2026-06-17,33,75.0,2475.0
T00087,C0029,Zenith Diagnostics Chennai Branch 4,SP004,PCM 650MG,2026-04-01,37,75.0,2775.0
T00088,C0064,Medisource Pharmacy Pune Branch 8 Pvt. Ltd.,SP002,MET 500MG,2026-05-20,33,42.5,1402.5
T00089,C0093,Rohan Pharmacy Mumbai 093,SP004,PCM 650MG,2026-01-28,49,240.0,11760.0
T00090,C0056,Medisource Pharmacy Bangalore Branch 7 Pvt. Ltd.,SP006,CETI 10MG,2026-05-11,35,185.5,6492.5
T00091,C0042,Diya Pharmacy Delhi 042,SP003,ATORVA 10MG,2026-02-23,18,185.5,3339.0
T00092,C0027,Ishaan Pharmacy Mumbai 027,SP005,OMEP 20MG,2026-06-26,29,240.0,6960.0
T00093,C0052,Carewell Medical Centre Pune Branch 7,SP003,ATORVA 10MG,2026-06-21,23,42.5,977.5
T00094,C0052,Carewell Medical Centre Pune Branch 7,SP004,PCM 650MG,2026-03-02,13,120.0,1560.0
T00095,C0089,Apollo Hospitals Chennai Branch 12,SP005,OMEP 20MG,2026-01-06,10,75.0,750.0
T00096,C0040,Medisource Pharmacy Pune Branch 5 Pvt. Ltd.,SP003,ATORVA 10MG,2026-04-26,28,42.5,1190.0
T00097,C0037,Zenith Diagnostics Hyderabad Branch 5,SP001,AMOX 500MG,2026-06-28,43,75.0,3225.0
T00098,C0098,Sunrise Clinic Bangalore Branch 13,SP003,ATORVA 10MG,2026-03-13,40,75.0,3000.0
T00099,C0063,Arjun Pharmacy Mumbai 063,SP004,PCM 650MG,2026-05-25,22,75.0,1650.0
T00100,C0103,Nova Health Distributors Hyderabad Branch 13,SP006,CETI 10MG,2026-02-14,28,240.0,6720.0
T00101,C0058,Sunrise Clinic Pune Branch 8,SP005,OMEP 20MG,2026-04-15,25,185.5,4637.5
T00102,C0011,  green valley pharmacy chennai branch 2  ,SP005,OMEP 20MG,2026-04-22,21,240.0,5040.0
T00103,C0014,Lifeline Hospital Bangalore Branch 2,SP003,ATORVA 10MG,2026-05-14,6,185.5,1113.0
T00104,C0115,Green Valley Pharmacy Hyderabad Branch 15,SP006,CETI 10MG,2026-04-14,32,75.0,2400.0
T00105,C0102,Meera Pharmacy Delhi 102,SP003,ATORVA 10MG,2026-07-19,23,240.0,5520.0
T00106,C0002,Sunrise Clinic Bangalore Branch 1,SP006,CETI 10MG,2026-05-24,8,75.0,600.0
T00107,C0120,Nisha Pharmacy Delhi 120 Pvt. Ltd.,SP002,MET 500MG,2026-02-10,44,120.0,5280.0
T00108,C0095,Nova Health Distributors Chennai Branch 12,SP006,CETI 10MG,2026-02-05,9,42.5,382.5
T00109,C0040,Medisource Pharmacy Pune Branch 5 Pvt. Ltd.,SP004,PCM 650MG,2026-06-18,13,42.5,552.5
T00110,C0048,Nisha Pharmacy Delhi 048 Pvt. Ltd.,SP001,AMOX 500MG,2026-04-09,9,75.0,675.0
T00111,C0019,Green Valley Pharmacy Hyderabad Branch 3,SP001,AMOX 500MG,2026-07-27,49,185.5,9089.5
T00112,C0038,Lifeline Hospital Bangalore Branch 5,SP004,PCM 650MG,2026-02-12,6,75.0,450.0
T00113,C0115,Green Valley Pharmacy Hyderabad Branch 15,SP002,MET 500MG,2026-04-15,40,42.5,1700.0
T00114,C0103,Nova Health Distributors Hyderabad Branch 13,SP001,AMOX 500MG,2026-07-05,43,42.5,1827.5
T00115,C0023,Nova Health Distributors Chennai Branch 3,SP005,OMEP 20MG,2026-01-17,10,42.5,425.0
T00116,C0087,Arjun Pharmacy Mumbai 087,SP006,CETI 10MG,2026-04-19,46,120.0,5520.0
T00117,C0108,Kavya Pharmacy Delhi 108,SP001,AMOX 500MG,2026-06-28,2,42.5,85.0
T00118,C0093,Rohan Pharmacy Mumbai 093,SP003,ATORVA 10MG,2026-01-03,7,42.5,297.5
T00119,C0087,Arjun Pharmacy Mumbai 087,SP005,OMEP 20MG,2026-05-15,17,240.0,4080.0
T00120,C0085,Zenith Diagnostics Hyderabad Branch 11,SP006,CETI 10MG,2026-06-01,33,185.5,6121.5
T00121,C0114,Diya Pharmacy Delhi 114,SP004,PCM 650MG,2026-04-09,43,240.0,10320.0
T00122,C0090,Diya Pharmacy Delhi 090,SP002,MET 500MG,2026-04-24,20,240.0,4800.0
T00123,C0013,Zenith Diagnostics Hyderabad Branch 2,SP004,PCM 650MG,2026-07-13,50,240.0,12000.0
T00124,C0095,Nova Health Distributors Chennai Branch 12,SP003,ATORVA 10MG,2026-07-04,26,120.0,3120.0
T00125,C0091,Green Valley Pharmacy Hyderabad Branch 12,SP001,AMOX 500MG,2026-04-15,41,185.5,7605.5
T00126,C0078,Meera Pharmacy Delhi 078,SP004,PCM 650MG,2026-01-25,6,42.5,255.0
T00127,C0044,  carewell medical centre bangalore branch 6  ,SP002,MET 500MG,2026-07-25,18,42.5,765.0
T00128,C0031,Nova Health Distributors Hyderabad Branch 4,SP002,MET 500MG,2026-01-16,20,75.0,1500.0
T00129,C0113,Apollo Hospitals Chennai Branch 15,SP003,ATORVA 10MG,2026-06-13,28,75.0,2100.0
T00130,C0107,Green Valley Pharmacy Chennai Branch 14,SP005,OMEP 20MG,2026-07-26,47,120.0,5640.0
T00131,C0043,Green Valley Pharmacy Hyderabad Branch 6,SP003,ATORVA 10MG,2026-01-04,41,42.5,1742.5
T00132,C0069,Rohan Pharmacy Mumbai 069,SP006,CETI 10MG,2026-03-18,39,42.5,1657.5
T00133,C0059,Green Valley Pharmacy Chennai Branch 8,SP002,MET 500MG,2026-04-20,32,185.5,5936.0
T00134,C0034,Sunrise Clinic Pune Branch 5,SP003,ATORVA 10MG,2026-05-20,39,185.5,7234.5
T00135,C0114,Diya Pharmacy Delhi 114,SP006,CETI 10MG,2026-07-04,29,75.0,2175.0
T00136,C0006,Meera Pharmacy Delhi 006,SP005,OMEP 20MG,2026-02-03,9,75.0,675.0
T00137,C0099,  ishaan pharmacy mumbai 099  ,SP006,CETI 10MG,2026-05-17,26,185.5,4823.0
T00138,C0111,Arjun Pharmacy Mumbai 111,SP003,ATORVA 10MG,2026-02-19,38,185.5,7049.0
T00139,C0097,Apollo Hospitals Hyderabad Branch 13,SP002,MET 500MG,2026-03-13,23,120.0,2760.0
T00140,C0094,Lifeline Hospital Pune Branch 12,SP005,OMEP 20MG,2026-05-07,12,185.5,2226.0
T00141,C0095,Nova Health Distributors Chennai Branch 12,SP002,MET 500MG,2026-03-09,15,185.5,2782.5
T00142,C0048,Nisha Pharmacy Delhi 048 Pvt. Ltd.,SP003,ATORVA 10MG,2026-06-26,35,120.0,4200.0
T00143,C0036,Kavya Pharmacy Delhi 036,SP005,OMEP 20MG,2026-03-26,31,185.5,5750.5
T00144,C0025,Apollo Hospitals Hyderabad Branch 4,SP001,AMOX 500MG,2026-07-19,44,240.0,10560.0
T00145,C0101,Zenith Diagnostics Chennai Branch 13,SP003,ATORVA 10MG,2026-07-01,21,240.0,5040.0
T00146,C0064,Medisource Pharmacy Pune Branch 8 Pvt. Ltd.,SP001,AMOX 500MG,2026-03-12,11,42.5,467.5
T00147,C0071,Nova Health Distributors Chennai Branch 9,SP004,PCM 650MG,2026-07-19,21,75.0,1575.0
T00148,C0070,Lifeline Hospital Pune Branch 9,SP004,PCM 650MG,2026-02-22,19,240.0,4560.0
T00149,C0052,Carewell Medical Centre Pune Branch 7,SP006,CETI 10MG,2026-04-20,44,240.0,10560.0
T00150,C0098,Sunrise Clinic Bangalore Branch 13,SP003,ATORVA 10MG,2026-03-04,14,240.0,3360.0
T00151,C0105,Aarav Pharmacy Mumbai 105,SP002,MET 500MG,2026-02-08,43,240.0,10320.0
T00152,C0099,  ishaan pharmacy mumbai 099  ,SP002,MET 500MG,2026-03-21,4,75.0,300.0
T00153,C0007,Nova Health Distributors Hyderabad Branch 1,SP001,AMOX 500MG,2026-04-09,21,75.0,1575.0
T00154,C0049,Apollo Hospitals Hyderabad Branch 7,SP001,AMOX 500MG,2026-04-16,31,185.5,5750.5
T00155,C0113,Apollo Hospitals Chennai Branch 15,SP002,MET 500MG,2026-07-27,44,75.0,3300.0
T00156,C0087,Arjun Pharmacy Mumbai 087,SP002,MET 500MG,2026-05-28,4,185.5,742.0
T00157,C0036,Kavya Pharmacy Delhi 036,SP004,PCM 650MG,2026-05-10,5,42.5,212.5
T00158,C0075,Ishaan Pharmacy Mumbai 075,SP005,OMEP 20MG,2026-04-23,41,240.0,9840.0
T00159,C0083,Green Valley Pharmacy Chennai Branch 11,SP004,PCM 650MG,2026-06-20,7,75.0,525.0
T00160,C0063,Arjun Pharmacy Mumbai 063,SP005,OMEP 20MG,2026-01-12,6,75.0,450.0
T00161,C0037,Zenith Diagnostics Hyderabad Branch 5,SP004,PCM 650MG,2026-01-01,50,240.0,12000.0
T00162,C0111,Arjun Pharmacy Mumbai 111,SP001,AMOX 500MG,2026-02-12,29,42.5,1232.5
T00163,C0048,Nisha Pharmacy Delhi 048 Pvt. Ltd.,SP004,PCM 650MG,2026-04-18,39,42.5,1657.5
T00164,C0012,Kavya Pharmacy Delhi 012,SP002,MET 500MG,2026-04-20,27,240.0,6480.0
T00165,C0086,Lifeline Hospital Bangalore Branch 11,SP001,AMOX 500MG,2026-03-20,25,185.5,4637.5
T00166,C0054,Meera Pharmacy Delhi 054,SP005,OMEP 20MG,2026-03-10,20,42.5,850.0
T00167,C0107,Green Valley Pharmacy Chennai Branch 14,SP002,MET 500MG,2026-04-03,12,42.5,510.0
T00168,C0034,Sunrise Clinic Pune Branch 5,SP006,CETI 10MG,2026-06-02,34,42.5,1445.0
T00169,C0041,Apollo Hospitals Chennai Branch 6,SP004,PCM 650MG,2026-07-15,29,75.0,2175.0
T00170,C0050,Sunrise Clinic Bangalore Branch 7,SP005,OMEP 20MG,2026-01-08,4,42.5,170.0
T00171,C0012,Kavya Pharmacy Delhi 012,SP001,AMOX 500MG,2026-06-26,9,75.0,675.0
T00172,C0059,Green Valley Pharmacy Chennai Branch 8,SP004,PCM 650MG,2026-03-15,44,240.0,10560.0
T00173,C0098,Sunrise Clinic Bangalore Branch 13,SP002,MET 500MG,2026-04-04,15,120.0,1800.0
T00174,C0029,Zenith Diagnostics Chennai Branch 4,SP002,MET 500MG,2026-01-05,48,42.5,2040.0
T00175,C0031,Nova Health Distributors Hyderabad Branch 4,SP006,CETI 10MG,2026-05-24,2,120.0,240.0
T00176,C0055,  nova health distributors hyderabad branch 7  ,SP005,OMEP 20MG,2026-06-02,12,75.0,900.0
T00177,C0020,Carewell Medical Centre Bangalore Branch 3,SP001,AMOX 500MG,2026-05-27,2,75.0,150.0
T00178,C0114,Diya Pharmacy Delhi 114,SP005,OMEP 20MG,2026-06-26,46,75.0,3450.0
T00179,C0046,Lifeline Hospital Pune Branch 6,SP003,ATORVA 10MG,2026-03-17,33,120.0,3960.0
T00180,C0103,Nova Health Distributors Hyderabad Branch 13,SP002,MET 500MG,2026-02-02,15,120.0,1800.0
T00181,C0084,Kavya Pharmacy Delhi 084,SP005,OMEP 20MG,2026-03-14,2,120.0,240.0
T00182,C0076,Carewell Medical Centre Pune Branch 10,SP005,OMEP 20MG,2026-04-02,2,42.5,85.0
T00183,C0118,Lifeline Hospital Pune Branch 15,SP001,AMOX 500MG,2026-02-17,5,75.0,375.0
T00184,C0056,Medisource Pharmacy Bangalore Branch 7 Pvt. Ltd.,SP001,AMOX 500MG,2026-06-23,3,120.0,360.0
T00185,C0042,Diya Pharmacy Delhi 042,SP002,MET 500MG,2026-04-27,21,185.5,3895.5
T00186,C0111,Arjun Pharmacy Mumbai 111,SP004,PCM 650MG,2026-05-17,50,120.0,6000.0
T00187,C0067,Green Valley Pharmacy Hyderabad Branch 9,SP003,ATORVA 10MG,2026-05-05,5,240.0,1200.0
T00188,C0093,Rohan Pharmacy Mumbai 093,SP002,MET 500MG,2026-03-05,40,240.0,9600.0
T00189,C0056,Medisource Pharmacy Bangalore Branch 7 Pvt. Ltd.,SP001,AMOX 500MG,2026-06-11,42,185.5,7791.0
T00190,C0012,Kavya Pharmacy Delhi 012,SP001,AMOX 500MG,2026-06-05,3,240.0,720.0
T00191,C0083,Green Valley Pharmacy Chennai Branch 11,SP001,AMOX 500MG,2026-04-25,4,120.0,480.0
T00192,C0082,Sunrise Clinic Pune Branch 11,SP002,MET 500MG,2026-06-19,47,120.0,5640.0
T00193,C0102,Meera Pharmacy Delhi 102,SP001,AMOX 500MG,2026-06-20,40,120.0,4800.0
T00194,C0114,Diya Pharmacy Delhi 114,SP005,OMEP 20MG,2026-04-27,30,240.0,7200.0
T00195,C0045,Rohan Pharmacy Mumbai 045,SP006,CETI 10MG,2026-02-17,46,75.0,3450.0
T00196,C0049,Apollo Hospitals Hyderabad Branch 7,SP002,MET 500MG,2026-05-10,21,240.0,5040.0
T00197,C0035,Green Valley Pharmacy Chennai Branch 5,SP005,OMEP 20MG,2026-07-23,48,240.0,11520.0
T00198,C0070,Lifeline Hospital Pune Branch 9,SP005,OMEP 20MG,2026-02-04,37,185.5,6863.5
T00199,C0093,Rohan Pharmacy Mumbai 093,SP001,AMOX 500MG,2026-06-26,24,185.5,4452.0
T00200,C0039,Arjun Pharmacy Mumbai 039,SP002,MET 500MG,2026-05-04,36,120.0,4320.0
T00201,C0049,Apollo Hospitals Hyderabad Branch 7,SP001,AMOX 500MG,2026-07-05,6,185.5,1113.0
T00202,C0033,  aarav pharmacy mumbai 033  ,SP003,ATORVA 10MG,2026-05-14,27,240.0,6480.0
T00203,C0069,Rohan Pharmacy Mumbai 069,SP006,CETI 10MG,2026-01-04,26,240.0,6240.0
T00204,C0003,Ishaan Pharmacy Mumbai 003,SP001,AMOX 500MG,2026-07-17,19,42.5,807.5
T00205,C0053,Zenith Diagnostics Chennai Branch 7,SP006,CETI 10MG,2026-05-26,9,120.0,1080.0
T00206,C0117,Rohan Pharmacy Mumbai 117,SP003,ATORVA 10MG,2026-07-02,15,120.0,1800.0
T00207,C0018,Diya Pharmacy Delhi 018,SP002,MET 500MG,2026-01-05,19,120.0,2280.0
T00208,C0091,Green Valley Pharmacy Hyderabad Branch 12,SP002,MET 500MG,2026-07-17,13,75.0,975.0
T00209,C0058,Sunrise Clinic Pune Branch 8,SP006,CETI 10MG,2026-04-16,26,42.5,1105.0
T00210,C0098,Sunrise Clinic Bangalore Branch 13,SP005,OMEP 20MG,2026-05-24,19,120.0,2280.0
T00211,C0088,Medisource Pharmacy Pune Branch 11 Pvt. Ltd.,SP006,CETI 10MG,2026-06-24,34,75.0,2550.0
T00212,C0048,Nisha Pharmacy Delhi 048 Pvt. Ltd.,SP002,MET 500MG,2026-02-09,26,75.0,1950.0
T00213,C0096,Nisha Pharmacy Delhi 096 Pvt. Ltd.,SP005,OMEP 20MG,2026-04-15,15,120.0,1800.0
T00214,C0098,Sunrise Clinic Bangalore Branch 13,SP003,ATORVA 10MG,2026-02-15,14,75.0,1050.0
T00215,C0039,Arjun Pharmacy Mumbai 039,SP003,ATORVA 10MG,2026-05-19,36,185.5,6678.0
T00216,C0071,Nova Health Distributors Chennai Branch 9,SP004,PCM 650MG,2026-01-10,46,75.0,3450.0
T00217,C0079,Nova Health Distributors Hyderabad Branch 10,SP001,AMOX 500MG,2026-02-02,28,75.0,2100.0
T00218,C0033,  aarav pharmacy mumbai 033  ,SP001,AMOX 500MG,2026-02-21,38,42.5,1615.0
T00219,C0037,Zenith Diagnostics Hyderabad Branch 5,SP001,AMOX 500MG,2026-07-10,45,75.0,3375.0
T00220,C0024,Nisha Pharmacy Delhi 024 Pvt. Ltd.,SP002,MET 500MG,2026-03-19,34,185.5,6307.0
T00221,C0055,  nova health distributors hyderabad branch 7  ,SP005,OMEP 20MG,2026-02-22,3,42.5,127.5
T00222,C0029,Zenith Diagnostics Chennai Branch 4,SP006,CETI 10MG,2026-05-09,5,185.5,927.5
T00223,C0111,Arjun Pharmacy Mumbai 111,SP006,CETI 10MG,2026-07-23,4,240.0,960.0
T00224,C0015,Arjun Pharmacy Mumbai 015,SP002,MET 500MG,2026-04-28,11,75.0,825.0
T00225,C0003,Ishaan Pharmacy Mumbai 003,SP004,PCM 650MG,2026-03-16,13,185.5,2411.5
T00226,C0013,Zenith Diagnostics Hyderabad Branch 2,SP006,CETI 10MG,2026-02-01,13,42.5,552.5
T00227,C0033,  aarav pharmacy mumbai 033  ,SP005,OMEP 20MG,2026-02-03,22,185.5,4081.0
T00228,C0085,Zenith Diagnostics Hyderabad Branch 11,SP001,AMOX 500MG,2026-02-02,33,75.0,2475.0
T00229,C0059,Green Valley Pharmacy Chennai Branch 8,SP002,MET 500MG,2026-01-27,1,185.5,185.5
T00230,C0107,Green Valley Pharmacy Chennai Branch 14,SP005,OMEP 20MG,2026-07-28,48,120.0,5760.0
T00231,C0113,Apollo Hospitals Chennai Branch 15,SP002,MET 500MG,2026-06-22,16,120.0,1920.0
T00232,C0064,Medisource Pharmacy Pune Branch 8 Pvt. Ltd.,SP004,PCM 650MG,2026-07-04,16,185.5,2968.0
T00233,C0107,Green Valley Pharmacy Chennai Branch 14,SP005,OMEP 20MG,2026-04-01,29,42.5,1232.5
T00234,C0093,Rohan Pharmacy Mumbai 093,SP002,MET 500MG,2026-05-24,39,120.0,4680.0
T00235,C0057,Aarav Pharmacy Mumbai 057,SP006,CETI 10MG,2026-02-10,18,120.0,2160.0
T00236,C0073,Apollo Hospitals Hyderabad Branch 10,SP001,AMOX 500MG,2026-07-26,49,75.0,3675.0
T00237,C0108,Kavya Pharmacy Delhi 108,SP006,CETI 10MG,2026-07-03,6,185.5,1113.0
