master_customer_id,master_name,email,phone,city,state,country,customer_type
MC0034,Sunrise Clinic Pune Branch 5,contact034@medcore-demo.in,+91 9810000034,Pune,Maharashtra,India,Provider
MC0035,Green Valley Pharmacy Chennai Branch 5,contact035@medcore-demo.in,+91 9810000035,Chennai,Tamil Nadu,India,Provider
MC0036,Kavya Pharmacy Delhi 036,contact036@medcore-demo.in,+91 9810000036,Delhi,Delhi,India,Pharmacy
MC0037,Zenith Diagnostics Hyderabad Branch 5,contact037@medcore-demo.in,+91 9810000037,Hyderabad,Telangana,India,Provider
MC0038,Lifeline Hospital Bangalore Branch 5,contact038@medcore-demo.in,+91 9810000038,Bangalore,Karnataka,India,Provider
MC0039,Arjun Pharmacy Mumbai 039,contact039@medcore-demo.in,+91 9810000039,Mumbai,Maharashtra,India,Pharmacy
MC0040,MEDISOURCE PHARMACY PUNE BRANCH 5,contact040@medcore-demo.in,+91 9810000040,Pune,Maharashtra,India,Provider
MC0041,Apollo Hospitals Chennai Branch 6,contact041@medcore-demo.in,+91 9810000041,Chennai,Tamil Nadu,India,Provider
MC0042,Diya Pharmacy Delhi 042,contact042@medcore-demo.in,+91 9810000042,Delhi,Delhi,India,Pharmacy
MC0043,Green Valley Pharmacy Hyderabad Branch 6,contact043@medcore-demo.in,+91 9810000043,Hyderabad,Telangana,India,Provider
MC0044,  carewell medical centre bangalore branch 6  ,contact044@medcore-demo.in,+91 9810000044,Bangalore,Karnataka,India,Provider
MC0045,Rohan Pharmacy Mumbai 045,contact045@medcore-demo.in,+91 9810000045,Mumbai,Maharashtra,India,Pharmacy
MC0046,Lifeline Hospital Pune Branch 6,contact046@medcore-demo.in,+91 9810000046,Pune,Maharashtra,India,Provider
MC0047,Nova Health Distributors Chennai Branch 6,contact047@medcore-demo.in,+91 9810000047,Chennai,Tamil Nadu,India,Provider
MC0048,NISHA PHARMACY DELHI 048,contact048@medcore-demo.in,+91 9810000048,Delhi,Delhi,India,Pharmacy
MC0049,Apollo Hospitals Hyderabad Branch 7,contact049@medcore-demo.in,+91 9810000049,Hyderabad,Telangana,India,Provider
MC0050,Sunrise Clinic Bangalore Branch 7,contact050@medcore-demo.in,+91 9810000050,Bangalore,Karnataka,India,Provider
MC0051,Ishaan Pharmacy Mumbai 051,contact051@medcore-demo.in,+91 9810000051,Mumbai,Maharashtra,India,Pharmacy
MC0052,Carewell Medical Centre Pune Branch 7,contact052@medcore-demo.in,+91 9810000052,Pune,Maharashtra,India,Provider
MC0053,Zenith Diagnostics Chennai Branch 7,contact053@medcore-demo.in,+91 9810000053,Chennai,Tamil Nadu,India,Provider
MC0054,Meera Pharmacy Delhi 054,contact054@medcore-demo.in,+91 9810000054,Delhi,Delhi,India,Pharmacy
MC0055,  nova health distributors hyderabad branch 7  ,contact055@medcore-demo.in,+91 9810000055,Hyderabad,Telangana,India,Provider
MC0056,MEDISOURCE PHARMACY BANGALORE BRANCH 7,contact056@medcore-demo.in,+91 9810000056,Bangalore,Karnataka,India,Provider
MC0057,Aarav Pharmacy Mumbai 057,contact057@medcore-demo.in,+91 9810000057,Mumbai,Maharashtra,India,Pharmacy
MC0058,Sunrise Clinic Pune Branch 8,contact058@medcore-demo.in,+91 9810000058,Pune,Maharashtra,India,Provider
MC0059,Green Valley Pharmacy Chennai Branch 8,contact059@medcore-demo.in,+91 9810000059,Chennai,Tamil Nadu,India,Provider
MC0060,Kavya Pharmacy Delhi 060,contact060@medcore-demo.in,+91 9810000060,Delhi,Delhi,India,Pharmacy
MC0061,Zenith Diagnostics Hyderabad Branch 8,contact061@medcore-demo.in,+91 9810000061,Hyderabad,Telangana,India,Provider
MC0062,Lifeline Hospital Bangalore Branch 8,contact062@medcore-demo.in,+91 9810000062,Bangalore,Karnataka,India,Provider
MC0063,Arjun Pharmacy Mumbai 063,contact063@medcore-demo.in,+91 9810000063,Mumbai,Maharashtra,India,Pharmacy
MC0064,MEDISOURCE PHARMACY PUNE BRANCH 8,contact064@medcore-demo.in,+91 9810000064,Pune,Maharashtra,India,Provider
MC0065,Apollo Hospitals Chennai Branch 9,contact065@medcore-demo.in,+91 9810000065,Chennai,Tamil Nadu,India,Provider
MC0066,  diya pharmacy delhi 066  ,contact066@medcore-demo.in,+91 9810000066,Delhi,Delhi,India,Pharmacy
MC0067,Green Valley Pharmacy Hyderabad Branch 9,contact067@medcore-demo.in,+91 9810000067,Hyderabad,Telangana,India,Provider
MC0068,Carewell Medical Centre Bangalore Branch 9,contact068@medcore-demo.in,+91 9810000068,Bangalore,Karnataka,India,Provider
MC0069,Rohan Pharmacy Mumbai 069,contact069@medcore-demo.in,+91 9810000069,Mumbai,Maharashtra,India,Pharmacy
MC0070,Lifeline Hospital Pune Branch 9,contact070@medcore-demo.in,+91 9810000070,Pune,Maharashtra,India,Provider
MC0071,Nova Health Distributors Chennai Branch 9,contact071@medcore-demo.in,+91 9810000071,Chennai,Tamil Nadu,India,Provider
MC0072,NISHA PHARMACY DELHI 072,contact072@medcore-demo.in,+91 9810000072,Delhi,Delhi,India,Pharmacy
MC0073,Apollo Hospitals Hyderabad Branch 10,contact073@medcore-demo.in,+91 9810000073,Hyderabad,Telangana,India,Provider
MC0074,Sunrise Clinic Bangalore Branch 10,contact074@medcore-demo.in,+91 9810000074,Bangalore,Karnataka,India,Provider
MC0075,Ishaan Pharmacy Mumbai 075,contact075@medcore-demo.in,+91 9810000075,Mumbai,Maharashtra,India,Pharmacy
MC0076,Carewell Medical Centre Pune Branch 10,contact076@medcore-demo.in,+91 9810000076,Pune,Maharashtra,India,Provider
MC0077,  zenith diagnostics chennai branch 10  ,contact077@medcore-demo.in,+91 9810000077,Chennai,Tamil Nadu,India,Provider
MC0078,Meera Pharmacy Delhi 078,contact078@medcore-demo.in,+91 9810000078,Delhi,Delhi,India,Pharmacy
MC0079,Nova Health Distributors Hyderabad Branch 10,contact079@medcore-demo.in,+91 9810000079,Hyderabad,Telangana,India,Provider
MC0080,MEDISOURCE PHARMACY BANGALORE BRANCH 10,contact080@medcore-demo.in,+91 9810000080,Bangalore,Karnataka,India,Provider
MC0081,Aarav Pharmacy Mumbai 081,contact081@medcore-demo.in,+91 9810000081,Mumbai,Maharashtra,India,Pharmacy
MC0082,Sunrise Clinic Pune Branch 11,contact082@medcore-demo.in,+91 9810000082,Pune,Maharashtra,India,Provider
MC0083,Green Valley Pharmacy Chennai Branch 11,contact083@medcore-demo.in,+91 9810000083,Chennai,Tamil Nadu,India,Provider
MC0084,Kavya Pharmacy Delhi 084,contact084@medcore-demo.in,+91 9810000084,Delhi,Delhi,India,Pharmacy
MC0085,Zenith Diagnostics Hyderabad Branch 11,contact085@medcore-demo.in,+91 9810000085,Hyderabad,Telangana,India,Provider
MC0086,Lifeline Hospital Bangalore Branch 11,contact086@medcore-demo.in,+91 9810000086,Bangalore,Karnataka,India,Provider
MC0087,Arjun Pharmacy Mumbai 087,contact087@medcore-demo.in,+91 9810000087,Mumbai,Maharashtra,India,Pharmacy
MC0088,MEDISOURCE PHARMACY PUNE BRANCH 11,contact088@medcore-demo.in,+91 9810000088,Pune,Maharashtra,India,Provider
MC0089,Apollo Hospitals Chennai Branch 12,contact089@medcore-demo.in,+91 9810000089,Chennai,Tamil Nadu,India,Provider
MC0090,Diya Pharmacy Delhi 090,contact090@medcore-demo.in,+91 9810000090,Delhi,Delhi,India,Pharmacy
MC0091,Green Valley Pharmacy Hyderabad Branch 12,contact091@medcore-demo.in,+91 9810000091,Hyderabad,Telangana,India,Provider
MC0092,Carewell Medical Centre Bangalore Branch 12,contact092@medcore-demo.in,+91 9810000092,Bangalore,Karnataka,India,Provider
MC0093,Rohan Pharmacy Mumbai 093,contact093@medcore-demo.in,+91 9810000093,Mumbai,Maharashtra,India,Pharmacy
MC0094,Lifeline Hospital Pune Branch 12,contact094@medcore-demo.in,+91 9810000094,Pune,Maharashtra,India,Provider
MC0095,Nova Health Distributors Chennai Branch 12,contact095@medcore-demo.in,+91 9810000095,Chennai,Tamil Nadu,India,Provider
MC0096,NISHA PHARMACY DELHI 096,contact096@medcore-demo.in,+91 9810000096,Delhi,Delhi,India,Pharmacy
MC0097,Apollo Hospitals Hyderabad Branch 13,contact097@medcore-demo.in,+91 9810000097,Hyderabad,Telangana,India,Provider
MC0098,Sunrise Clinic Bangalore Branch 13,contact098@medcore-demo.in,+91 9810000098,Bangalore,Karnataka,India,Provider
MC0099,  ishaan pharmacy mumbai 099  ,contact099@medcore-demo.in,+91 9810000099,Mumbai,Maharashtra,India,Pharmacy
MC0100,Carewell Medical Centre Pune Branch 13,contact100@medcore-demo.in,+91 9810000100,Pune,Maharashtra,India,Provider
MC0101,Zenith Diagnostics Chennai Branch 13,contact101@medcore-demo.in,+91 9810000101,Chennai,Tamil Nadu,India,Provider
MC0102,Meera Pharmacy Delhi 102,contact102@medcore-demo.in,+91 9810000102,Delhi,Delhi,India,Pharmacy
MC0103,Nova Health Distributors Hyderabad Branch 13,contact103@medcore-demo.in,+91 9810000103,Hyderabad,Telangana,India,Provider
MC0104,MEDISOURCE PHARMACY BANGALORE BRANCH 13,contact104@medcore-demo.in,+91 9810000104,Bangalore,Karnataka,India,Provider
MC0105,Aarav Pharmacy Mumbai 105,contact105@medcore-demo.in,+91 9810000105,Mumbai,Maharashtra,India,Pharmacy
MC0106,Sunrise Clinic Pune Branch 14,contact106@medcore-demo.in,+91 9810000106,Pune,Maharashtra,India,Provider
MC0107,Green Valley Pharmacy Chennai Branch 14,contact107@medcore-demo.in,+91 9810000107,Chennai,Tamil Nadu,India,Provider
MC0108,Kavya Pharmacy Delhi 108,contact108@medcore-demo.in,+91 9810000108,Delhi,Delhi,India,Pharmacy
MC0109,Zenith Diagnostics Hyderabad Branch 14,contact109@medcore-demo.in,+91 9810000109,Hyderabad,Telangana,India,Provider
MC0110,  lifeline hospital bangalore branch 14  ,contact110@medcore-demo.in,+91 9810000110,Bangalore,Karnataka,India,Provider
MC0111,Arjun Pharmacy Mumbai 111,contact111@medcore-demo.in,+91 9810000111,Mumbai,Maharashtra,India,Pharmacy
MC0112,MEDISOURCE PHARMACY PUNE BRANCH 14,contact112@medcore-demo.in,+91 9810000112,Pune,Maharashtra,India,Provider
MC0113,Apollo Hospitals Chennai Branch 15,contact113@medcore-demo.in,+91 9810000113,Chennai,Tamil Nadu,India,Provider
MC0114,Diya Pharmacy Delhi 114,contact114@medcore-demo.in,+91 9810000114,Delhi,Delhi,India,Pharmacy
MC0115,Green Valley Pharmacy Hyderabad Branch 15,contact115@medcore-demo.in,+91 9810000115,Hyderabad,Telangana,India,Provider
MC0116,Carewell Medical Centre Bangalore Branch 15,contact116@medcore-demo.in,+91 9810000116,Bangalore,Karnataka,India,Provider
MC0117,Rohan Pharmacy Mumbai 117,contact117@medcore-demo.in,+91 9810000117,Mumbai,Maharashtra,India,Pharmacy
MC0118,Lifeline Hospital Pune Branch 15,contact118@medcore-demo.in,+91 9810000118,Pune,Maharashtra,India,Provider
MC0119,Nova Health Distributors Chennai Branch 15,contact119@medcore-demo.in,+91 9810000119,Chennai,Tamil Nadu,India,Provider
MC0120,NISHA PHARMACY DELHI 120,contact120@medcore-demo.in,+91 9810000120,Delhi,Delhi,India,Pharmacy
